ranking,score,title,number_of_episodes,emission_date,number_members,url
58,8.67,Made in Abyss: Retsujitsu no Ougonkyou,TV (12 eps),Jul 2022 - Sep 2022,"364,577 members",https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
59,8.67,Mononoke Hime,Movie (1 eps),Jul 1997 - Jul 1997,"1,173,432 members",https://myanimelist.net/anime/164/Mononoke_Hime
60,8.67,Violet Evergarden,TV (13 eps),Jan 2018 - Apr 2018,"1,648,160 members",https://myanimelist.net/anime/33352/Violet_Evergarden
61,8.66,Hajime no Ippo: New Challenger,TV (26 eps),Jan 2009 - Jul 2009,"262,729 members",https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
62,8.66,Howl no Ugoku Shiro,Movie (1 eps),Nov 2004 - Nov 2004,"1,230,594 members",https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
63,8.66,Made in Abyss,TV (13 eps),Jul 2017 - Sep 2017,"1,268,942 members",https://myanimelist.net/anime/34599/Made_in_Abyss
64,8.66,Mushishi,TV (26 eps),Oct 2005 - Jun 2006,"784,996 members",https://myanimelist.net/anime/457/Mushishi
65,8.65,Natsume Yuujinchou Shi,TV (13 eps),Jan 2012 - Mar 2012,"233,854 members",https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
66,8.65,Shigatsu wa Kimi no Uso,TV (22 eps),Oct 2014 - Mar 2015,"2,080,394 members",https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
67,8.65,Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,289,685 members",https://myanimelist.net/anime/50265/Spy_x_Family
68,8.65,Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,191,052 members",https://myanimelist.net/anime/40748/Jujutsu_Kaisen
69,8.64,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV (12 eps),Apr 2020 - Jun 2020,"1,230,625 members",https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
70,8.63,Haikyuu!! Second Season,TV (25 eps),Oct 2015 - Mar 2016,"1,341,261 members",https://myanimelist.net/anime/28891/Haikyuu_Second_Season
71,8.63,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,"1,351,925 members",https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
72,8.63,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,"410,236 members",https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
73,8.63,Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,531,328 members",https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
74,8.62,Mo Dao Zu Shi: Wanjie Pian,ONA (12 eps),Aug 2021 - Oct 2021,"69,739 members",https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
75,8.62,Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"175,242 members",https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
76,8.62,Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,"369,139 members",https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
77,8.62,Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,"2,170,189 members",https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
78,8.62,Chainsaw Man,TV (12 eps),Oct 2022 - Dec 2022,"1,193,217 members",https://myanimelist.net/anime/44511/Chainsaw_Man
79,8.62,Death Note,TV (37 eps),Oct 2006 - Jun 2007,"3,661,440 members",https://myanimelist.net/anime/1535/Death_Note
80,8.61,Cyberpunk: Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,"528,999 members",https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners
81,8.61,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie (1 eps),Mar 2021 - Mar 2021,"337,970 members",https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time
82,8.61,Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"584,674 members",https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
83,8.60,Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,"121,665 members",https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
84,8.60,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),Jun 2019 - Jun 2019,"651,682 members",https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
85,8.59,Suzume no Tojimari,Movie (1 eps),Nov 2022 - Nov 2022,"142,560 members",https://myanimelist.net/anime/50594/Suzume_no_Tojimari
86,8.59,Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,"236,694 members",https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
87,8.58,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"938,685 members",https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
88,8.58,Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"419,610 members",https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
89,8.58,Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"241,005 members",https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
90,8.58,Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"775,030 members",https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
91,8.57,Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"174,546 members",https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
92,8.57,Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"278,894 members",https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
93,8.57,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"204,861 members",https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
94,8.57,Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"423,181 members",https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
