ranking,score,title,number_of_episodes,emission_date,number_members,url
62,8.66,Hajime no Ippo: New Challenger,TV (26 eps),Jan 2009 - Jul 2009,"263,362 members",https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
63,8.66,Howl no Ugoku Shiro,Movie (1 eps),Nov 2004 - Nov 2004,"1,233,509 members",https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
64,8.66,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA (14 eps),Dec 2022 - Dec 2022,"133,496 members",https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3
65,8.66,Made in Abyss,TV (13 eps),Jul 2017 - Sep 2017,"1,272,059 members",https://myanimelist.net/anime/34599/Made_in_Abyss
66,8.66,Mushishi,TV (26 eps),Oct 2005 - Jun 2006,"786,182 members",https://myanimelist.net/anime/457/Mushishi
67,8.65,Natsume Yuujinchou Shi,TV (13 eps),Jan 2012 - Mar 2012,"234,095 members",https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
68,8.65,Shigatsu wa Kimi no Uso,TV (22 eps),Oct 2014 - Mar 2015,"2,084,856 members",https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
69,8.65,Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,199,482 members",https://myanimelist.net/anime/40748/Jujutsu_Kaisen
70,8.64,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV (12 eps),Apr 2020 - Jun 2020,"1,234,384 members",https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
71,8.64,Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,297,074 members",https://myanimelist.net/anime/50265/Spy_x_Family
72,8.63,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,"411,873 members",https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
73,8.63,Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,533,432 members",https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
74,8.63,Haikyuu!! Second Season,TV (25 eps),Oct 2015 - Mar 2016,"1,343,758 members",https://myanimelist.net/anime/28891/Haikyuu_Second_Season
