ranking,score,title,number_of_episodes,emission_date,number_members,url,studio,themes,genres,demographics
44,8.73,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV (12 eps),Jan 2017 - Mar 2017,"178,731 members",https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,Studio Deen,"Adult Cast, Historical, Love Polygon, Performing Arts",Drama,Josei
45,8.73,Vinland Saga,TV (24 eps),Jul 2019 - Dec 2019,"1,308,381 members",https://myanimelist.net/anime/37521/Vinland_Saga,Wit Studio,"Gore, Historical","Action, Adventure, Drama",Seinen
46,8.71,86 Part 2,TV (12 eps),Oct 2021 - Mar 2022,"412,651 members",https://myanimelist.net/anime/48569/86_Part_2,A-1 Pictures,"Mecha, Military","Action, Drama, Sci-Fi",
47,8.71,Ashita no Joe 2,TV (47 eps),Oct 1980 - Aug 1981,"46,716 members",https://myanimelist.net/anime/2921/Ashita_no_Joe_2,Tokyo Movie Shinsha,Combat Sports,"Drama, Sports",Shounen
48,8.71,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA (4 eps),Feb 1999 - Sep 1999,"266,672 members",https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,Studio Deen,"Adult Cast, Historical, Martial Arts, Samurai","Action, Drama, Romance",Shounen
49,8.7,Mushishi Zoku Shou,TV (10 eps),Apr 2014 - Jun 2014,"285,005 members",https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,Artland,"Adult Cast, Historical, Iyashikei","Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Seinen
50,8.7,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV (12 eps),Oct 2021 - Dec 2021,"755,005 members",https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,Studio Bind,"Isekai, Reincarnation","Drama, Fantasy, Ecchi",
51,8.7,Odd Taxi,TV (13 eps),Apr 2021 - Jun 2021,"376,601 members",https://myanimelist.net/anime/46102/Odd_Taxi,OLM,Anthropomorphic,"Award Winning, Mystery",
52,8.7,Vinland Saga Season 2,TV (24 eps),Jan 2023 -,"363,094 members",https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,MAPPA,"Gore, Historical","Action, Adventure, Drama",Seinen
53,8.7,Code Geass: Hangyaku no Lelouch,TV (25 eps),Oct 2006 - Jul 2007,"2,124,955 members",https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,Sunrise,"Mecha, Military, School, Super Power","Action, Award Winning, Drama, Sci-Fi",
54,8.69,Great Teacher Onizuka,TV (43 eps),Jun 1999 - Sep 2000,"777,642 members",https://myanimelist.net/anime/245/Great_Teacher_Onizuka,Pierrot,"Delinquents, School, Workplace",Comedy,Shounen
55,8.69,One Piece,TV (? eps),Oct 1999 -,"2,124,292 members",https://myanimelist.net/anime/21/One_Piece,Toei Animation,,"Action, Adventure, Fantasy",Shounen
56,8.68,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie (1 eps),Aug 2020 - Aug 2020,"314,918 members",https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,ufotable,,"Action, Fantasy, Supernatural",
57,8.67,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA (14 eps),Dec 2022 - Dec 2022,"130,753 members",https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,David Production,,"Action, Adventure, Supernatural",Shounen
58,8.67,Made in Abyss: Retsujitsu no Ougonkyou,TV (12 eps),Jul 2022 - Sep 2022,"364,577 members",https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,Kinema Citrus,"Gore, Survival","Adventure, Drama, Fantasy, Mystery, Sci-Fi",
59,8.67,Mononoke Hime,Movie (1 eps),Jul 1997 - Jul 1997,"1,173,432 members",https://myanimelist.net/anime/164/Mononoke_Hime,Studio Ghibli,,"Action, Adventure, Award Winning, Fantasy",
60,8.67,Violet Evergarden,TV (13 eps),Jan 2018 - Apr 2018,"1,648,160 members",https://myanimelist.net/anime/33352/Violet_Evergarden,Kyoto Animation,,"Drama, Fantasy",
61,8.66,Hajime no Ippo: New Challenger,TV (26 eps),Jan 2009 - Jul 2009,"262,729 members",https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,Madhouse,Combat Sports,Sports,Shounen
62,8.66,Howl no Ugoku Shiro,Movie (1 eps),Nov 2004 - Nov 2004,"1,230,594 members",https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,Studio Ghibli,,"Adventure, Award Winning, Drama, Fantasy, Romance",
63,8.66,Made in Abyss,TV (13 eps),Jul 2017 - Sep 2017,"1,268,942 members",https://myanimelist.net/anime/34599/Made_in_Abyss,Kinema Citrus,"Gore, Survival","Adventure, Drama, Fantasy, Mystery, Sci-Fi",
64,8.66,Mushishi,TV (26 eps),Oct 2005 - Jun 2006,"784,996 members",https://myanimelist.net/anime/457/Mushishi,Artland,"Adult Cast, Historical, Iyashikei","Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Seinen
65,8.65,Natsume Yuujinchou Shi,TV (13 eps),Jan 2012 - Mar 2012,"233,854 members",https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,Brain's Base,"Iyashikei, Mythology","Drama, Slice of Life, Supernatural",Shoujo
